,Zscore Outliers,Zscore Inliers,Isolation Forest Outliers,Isolation Forest Inliers
Dollar_per_MT,1.0,1.0,1.0,1.0
VLCC Newbuilding Prices,0.6934655385479768,0.30749578671091554,0.5271751927047674,0.5340261425962561
Time Charter 1 year ($/day),0.8386274298869515,0.27077104700569327,0.7894548165835769,0.43555979879640827
TF.Des_North West Europe (excl. ARA),-0.6838332404324581,-0.34112318725242513,-0.6814049116593447,-0.5541129410261886
TF.Des_PADD 3 (US Gulf Coast),-0.7479332041783039,-0.2473279939354362,-0.6797165272134217,-0.5320697766479437
VLCC Fleet Development...6,-0.1330358128217727,-0.337203802651268,0.09536544396554238,-0.5322888986913032
VLCC Fleet Development...7,0.027074525628323718,-0.3078619906069322,0.12791624607791635,-0.5285399851978279
UP.Latin America,-0.32422351226878016,-0.28049099283130435,0.04317641820276974,-0.5141558594445864
TP.U.S. + Canada,-0.41073935968365105,-0.31784472858258284,-0.1500510873961895,-0.5569113079928223
TP.Latin America,-0.4812703915882434,-0.3021534959482193,-0.2770901890736918,-0.5563766635986762
TP.Total Europe,-0.4062707736198879,-0.3124047128805584,-0.16004525236335648,-0.5605307974031896
TP.Former Soviet Union,-0.355490846958929,-0.3056684498699574,-0.10173382089205175,-0.5537074599878484
TP.Asia-Pacific,-0.33904404826121753,-0.30713105345058067,-0.12172515308180347,-0.5550042767037744
TP.Middle East,-0.4077069113984597,-0.31423804925288773,-0.16649342968286227,-0.5522077658005242
TP.Africa,-0.42538450216364193,-0.2975439773301045,-0.1837619380713324,-0.554934063741671
Total trade flows,-0.33924520569572425,-0.3004314882684812,-0.17010324724529582,-0.5529242538226304
TF.Des_ARA Region,-0.18425216715871667,-0.2690161354194601,-0.1369821206462259,-0.5060173691578898
TF.Des_East Asia,-0.2920250055075873,-0.29940242575088694,-0.10758370657062935,-0.5509680455057793
TF.Des_Indian Sub-Continent,-0.36785859144886496,-0.3009754774041627,-0.15609756412288522,-0.5407932122209357
TF.Des_PADD 5 (US West Coast),-0.4216546003613156,-0.3102306816746733,-0.2994050606225862,-0.5126434262772555
TF.Des_Red Sea,-0.08801236692050728,-0.2872999267173098,0.14144609749696724,-0.5266014243138449
TF.Des_Southeast Asia,-0.2845513727374007,-0.2934145974383139,0.13108533654363028,-0.5506031444106179
F.Des_EAF,-0.9821868169081165,-0.27932331322264076,-0.19019882304031113,-0.5567446262405504
F.Des_ECI,-0.9198621244309,-0.2451394925495254,0.044977328978845287,-0.5664083032970574
F.Des_MED,-0.45787354668155084,-0.05632387942478064,0.002393352960368609,-0.5567446262405504
F.Des_MED/BS,-0.9501859537215332,-0.16551380621570438,-0.19019882304031113,-0.5567446262405504
F.Des_USEC,-0.43343090921317434,-0.21564981031810657,-0.24500678283017444,-0.5063966588762002
F.Origin_EAF,-0.9821868169081165,-0.31798267678314734,-0.19019882304031113,-0.5567446262405504
F.Origin_MED,-0.5110742271290989,-0.17234657872980685,-0.15924151521155253,-0.5334433733378788
F.Origin_MED/BS,-0.9821868169081165,-0.32636531352498965,-0.19019882304031113,-0.5567446262405504
F.Origin_SAF,-0.6688860948297505,-0.31998834641708207,-0.19019882304031113,-0.5567446262405504
F.Origin_USAC,-0.49094434223005035,-0.32574114053665537,-0.19019882304031113,-0.5567446262405504
F.Origin_USEC,-0.15437395201004075,-0.2810735206227293,0.0947123442412009,-0.5567446262405504
VLCC Demolition...13,-0.5335783022485268,0.023045544593284624,-0.13130858822228408,-0.2725745186371763
P.Latin America,0.5511679280790007,-0.04921319034055212,0.45797116593739956,0.02528754018342472
UL/VLCC Tankers Storage (No.),0.5246435950270176,-0.13873315568062827,0.000740636007278528,-0.2811061884813248
UL/VLCC Tankers Storage (DWT),0.5210641373289409,-0.13909264537543561,0.0037224517474665976,-0.28271370685790337
F.Des_RS,0.5188913845465721,-0.19193466821810098,0.4869338097297465,-0.3926872453537153
F.Des_WCSA,-0.723223976263456,-0.2718820585074074,-0.2523739540762031,-0.48435295698091974
